Category,Name/Brand,Domain/Niche,Public Email,Contact Type,Contact/Link,What to use for,Source URL
Education,Khan Global Studies (KGS),"Competitive exams, General Studies (UPSC/SSC/Banking etc.)",enquiry@khanglobalstudies.com,Enquiry email,https://www.khanglobalstudies.com/contact-us,Course enquiries / collaboration routing,https://www.khanglobalstudies.com/contact-us
Education,Physics Wallah (PW),"JEE/NEET, school learning, competitive exam prep",support@pw.live,Support email,https://www.pw.live/contact-us,Support / route partnership requests,https://www.pw.live/contact-us
Education,BYJU'S,K-12 learning (EdTech),press@byjus.com,Press/PR email,https://byjus.com/press/,Media / PR / collaboration inquiries,https://byjus.com/press/
Education,Unacademy,Multi-exam prep (UPSC/SSC/Banking etc.),press@unacademy.com,Media enquiry email,https://unacademy.com/about,Media / PR / collaborations,https://unacademy.com/about
Education,Adda247,Govt exam prep (SSC/Banking/Railways etc.),support@adda247.com,Support email,https://www.adda247.com/refund.html,Support / route business queries,https://www.adda247.com/refund.html
Education,StudyIQ IAS,UPSC/State PCS current affairs + exam prep,faculty.counseling@studyiq.com,Counselling email,https://www.studyiq.com/contact,Admissions / counselling (can route partnerships),https://www.studyiq.com/contact
Education,Testbook,Govt exam prep platform (SSC/Banking/Railways etc.),support@testbook.com,Support email,https://testbook.com/about-us,Support / partnership routing,https://testbook.com/about-us
Education,ALLEN (ALLEN Digital / Institute),JEE/NEET coaching + test prep,wecare@allen.in,Support email,https://allen.in/contact-us,Official support/contact route,https://allen.in/contact-us
Education,Vedantu Store (Vedantu),K-12 learning + JEE/NEET prep (EdTech),vedantu-store@vedantu.com,Store/support email,https://www.vedantu.store/pages/contact-us,Support/contact route (store),https://www.vedantu.store/pages/contact-us
Education,Apna College,Coding education + placements (software education),sigma@apnacollege.in,Support email,https://www.apnacollege.in/,Enrolment/support channel,https://www.apnacollege.in/
Software Products,Freshworks,"SaaS (ITSM, customer support, CRM)",pr@freshworks.com,Press email,https://www.freshworks.com/company/newsroom/,Press / media / partnerships routing,https://www.freshworks.com/company/newsroom/
